record_id,n_rows,expected_rows,complete,any_na_value
1,20,20,TRUE,FALSE
2,20,20,TRUE,FALSE
3,20,20,TRUE,FALSE
4,20,20,TRUE,FALSE
5,20,20,TRUE,FALSE
6,20,20,TRUE,FALSE
7,20,20,TRUE,FALSE
8,20,20,TRUE,FALSE
9,20,20,TRUE,FALSE
10,20,20,TRUE,FALSE
11,20,20,TRUE,FALSE
12,20,20,TRUE,FALSE
13,20,20,TRUE,FALSE
14,20,20,TRUE,FALSE
15,20,20,TRUE,FALSE
16,20,20,TRUE,FALSE
17,20,20,TRUE,FALSE
18,20,20,TRUE,FALSE
19,20,20,TRUE,FALSE
20,20,20,TRUE,FALSE
21,20,20,TRUE,FALSE
22,20,20,TRUE,FALSE
23,20,20,TRUE,FALSE
24,20,20,TRUE,FALSE
25,20,20,TRUE,FALSE
26,20,20,TRUE,FALSE
27,20,20,TRUE,FALSE
28,20,20,TRUE,FALSE
29,20,20,TRUE,FALSE
30,20,20,TRUE,FALSE
31,20,20,TRUE,FALSE
32,20,20,TRUE,FALSE
33,20,20,TRUE,FALSE
34,20,20,TRUE,FALSE
35,20,20,TRUE,FALSE
36,20,20,TRUE,FALSE
37,20,20,TRUE,FALSE
38,20,20,TRUE,FALSE
39,20,20,TRUE,FALSE
40,20,20,TRUE,FALSE
41,20,20,TRUE,FALSE
42,20,20,TRUE,FALSE
43,20,20,TRUE,FALSE
44,20,20,TRUE,FALSE
45,20,20,TRUE,FALSE
46,20,20,TRUE,FALSE
47,20,20,TRUE,FALSE
48,20,20,TRUE,FALSE
49,20,20,TRUE,FALSE
50,20,20,TRUE,FALSE
51,20,20,TRUE,FALSE
52,20,20,TRUE,FALSE
53,20,20,TRUE,FALSE
54,20,20,TRUE,FALSE
55,20,20,TRUE,FALSE
56,20,20,TRUE,FALSE
57,20,20,TRUE,FALSE
58,20,20,TRUE,FALSE
59,20,20,TRUE,FALSE
60,20,20,TRUE,FALSE
61,20,20,TRUE,FALSE
62,20,20,TRUE,FALSE
63,20,20,TRUE,FALSE
64,20,20,TRUE,FALSE
65,20,20,TRUE,FALSE
67,20,20,TRUE,FALSE
68,20,20,TRUE,FALSE
69,20,20,TRUE,FALSE
70,20,20,TRUE,FALSE
71,20,20,TRUE,FALSE
72,20,20,TRUE,FALSE
73,20,20,TRUE,FALSE
74,20,20,TRUE,FALSE
75,20,20,TRUE,FALSE
76,20,20,TRUE,FALSE
77,20,20,TRUE,FALSE
78,20,20,TRUE,FALSE
79,20,20,TRUE,FALSE
80,20,20,TRUE,FALSE
81,20,20,TRUE,FALSE
82,20,20,TRUE,FALSE
83,20,20,TRUE,FALSE
84,20,20,TRUE,FALSE
85,20,20,TRUE,FALSE
86,20,20,TRUE,FALSE
87,20,20,TRUE,FALSE
88,20,20,TRUE,FALSE
89,20,20,TRUE,FALSE
90,20,20,TRUE,FALSE
91,20,20,TRUE,FALSE
92,20,20,TRUE,FALSE
93,20,20,TRUE,FALSE
94,20,20,TRUE,FALSE
95,20,20,TRUE,FALSE
96,20,20,TRUE,FALSE
97,20,20,TRUE,FALSE
98,20,20,TRUE,FALSE
99,20,20,TRUE,FALSE
100,20,20,TRUE,FALSE
101,20,20,TRUE,FALSE
102,20,20,TRUE,FALSE
103,20,20,TRUE,FALSE
104,20,20,TRUE,FALSE
105,20,20,TRUE,FALSE
107,20,20,TRUE,FALSE
108,20,20,TRUE,FALSE
109,20,20,TRUE,FALSE
110,20,20,TRUE,FALSE
111,20,20,TRUE,FALSE
112,20,20,TRUE,FALSE
113,20,20,TRUE,FALSE
114,20,20,TRUE,FALSE
115,20,20,TRUE,FALSE
116,20,20,TRUE,FALSE
117,20,20,TRUE,FALSE
118,20,20,TRUE,FALSE
119,20,20,TRUE,FALSE
120,20,20,TRUE,FALSE
121,20,20,TRUE,FALSE
122,20,20,TRUE,FALSE
123,20,20,TRUE,FALSE
124,20,20,TRUE,FALSE
125,20,20,TRUE,FALSE
126,20,20,TRUE,FALSE
127,20,20,TRUE,FALSE
128,20,20,TRUE,FALSE
129,20,20,TRUE,FALSE
130,20,20,TRUE,FALSE
131,20,20,TRUE,FALSE
132,20,20,TRUE,FALSE
133,20,20,TRUE,FALSE
134,20,20,TRUE,FALSE
135,20,20,TRUE,FALSE
136,20,20,TRUE,FALSE
137,20,20,TRUE,FALSE
138,20,20,TRUE,FALSE
139,20,20,TRUE,FALSE
140,20,20,TRUE,FALSE
141,20,20,TRUE,FALSE
142,20,20,TRUE,FALSE
143,20,20,TRUE,FALSE
144,20,20,TRUE,FALSE
145,20,20,TRUE,FALSE
146,20,20,TRUE,FALSE
147,20,20,TRUE,FALSE
148,20,20,TRUE,FALSE
149,20,20,TRUE,FALSE
150,20,20,TRUE,FALSE
151,20,20,TRUE,FALSE
152,20,20,TRUE,FALSE
153,20,20,TRUE,FALSE
154,20,20,TRUE,FALSE
155,20,20,TRUE,FALSE
157,20,20,TRUE,FALSE
158,20,20,TRUE,FALSE
159,20,20,TRUE,FALSE
160,20,20,TRUE,FALSE
161,20,20,TRUE,FALSE
162,20,20,TRUE,FALSE
163,20,20,TRUE,FALSE
164,20,20,TRUE,FALSE
